city,census,rank,state,estimate,change
Fayetteville,"200,564",109,"North Carolina
","209,468",+4.44%
Moreno Valley,"193,365",110,"California
","209,050",+8.11%
Rochester,"210,565",111,"New York
","206,284",−2.03%
Glendale,"191,719",112,"California
","201,361",+5.03%
Huntington Beach,"189,992",113,"California
","200,641",+5.60%
Salt Lake City,"186,440",114,Utah,"200,591",+7.59%
Grand Rapids,"188,040",115,"Michigan
","200,217",+6.48%
Amarillo,"190,695",116,"Texas
","199,924",+4.84%
Yonkers,"195,976",117,"New York
","199,663",+1.88%
Aurora,"197,899",118,"Illinois
","199,602",+0.86%
Montgomery,"205,764",119,"Alabama
","198,218",−3.67%
Akron,"199,110",120,"Ohio
","198,006",−0.55%
Little Rock,"193,524",121,Arkansas,"197,881",+2.25%
Huntsville,"180,105",122,"Alabama
","197,318",+9.56%
Augusta,"195,844",123,"Georgia
","196,939",+0.56%
Port St. Lucie,"164,603",124,"Florida
","195,248",+18.62%
Grand Prairie,"175,396",125,"Texas
","194,614",+10.96%
Columbus,"189,885",126,"Georgia
","194,160",+2.25%
Tallahassee,"181,376",127,"Florida
","193,551",+6.71%
Overland Park,"173,372",128,"Kansas
","192,536",+11.05%
Tempe,"161,719",129,"Arizona
","192,364",+18.95%
McKinney,"131,117",130,"Texas
","191,645",+46.16%
Mobile,"195,111",131,"Alabama
","189,572",−2.84%
Cape Coral,"154,305",132,"Florida
","189,343",+22.71%
Shreveport,"199,311",133,"Louisiana
","188,987",−5.18%
Frisco,"116,989",134,"Texas
","188,170",+60.84%
Knoxville,"178,874",135,"Tennessee
","187,500",+4.82%
Worcester,"181,045",136,"Massachusetts
","185,877",+2.67%
Brownsville,"175,023",137,"Texas
","183,392",+4.78%
Vancouver,"161,791",138,"Washington
","183,012",+13.12%
Fort Lauderdale,"165,521",139,"Florida
","182,595",+10.32%
Sioux Falls,"153,888",140,South Dakota,"181,883",+18.19%
Ontario,"163,924",141,"California
","181,107",+10.48%
Chattanooga,"167,674",142,"Tennessee
","180,557",+7.68%
Providence,"178,042",143,Rhode Island,"179,335",+0.73%
Newport News,"180,719",144,"Virginia
","178,626",−1.16%
Rancho Cucamonga,"165,269",145,"California
","177,751",+7.55%
Santa Rosa,"167,815",146,"California
","177,586",+5.82%
Oceanside,"167,086",147,"California
","176,080",+5.38%
Salem,"154,637",148,"Oregon
","173,442",+12.16%
Elk Grove,"153,015",149,"California
","172,886",+12.99%
Garden Grove,"170,883",150,"California
","172,646",+1.03%
Pembroke Pines,"154,019",151,"Florida
","172,374",+11.92%
Peoria,"154,065",152,"Arizona
","172,259",+11.81%
Eugene,"156,185",153,"Oregon
","171,245",+9.64%
Corona,"152,374",154,"California
","168,819",+10.79%
Cary,"135,234",155,"North Carolina
","168,160",+24.35%
Springfield,"159,498",156,"Missouri
","168,122",+5.41%
Fort Collins,"143,986",157,"Colorado
","167,830",+16.56%
Jackson,"173,514",158,Mississippi,"164,422",−5.24%
Alexandria,"139,966",159,"Virginia
","160,530",+14.69%
Hayward,"144,186",160,"California
","159,620",+10.70%
Lancaster,"156,633",161,"California
","159,053",+1.55%
Lakewood,"142,980",162,"Colorado
","156,798",+9.66%
Clarksville,"132,929",163,"Tennessee
","156,794",+17.95%
Palmdale,"152,750",164,"California
","156,667",+2.56%
Salinas,"150,441",165,"California
","156,259",+3.87%
Springfield,"153,060",166,"Massachusetts
","155,032",+1.29%
Hollywood,"140,768",167,"Florida
","154,823",+9.98%
Pasadena,"149,043",168,"Texas
","153,219",+2.80%
Sunnyvale,"140,081",169,"California
","153,185",+9.35%
Macon,"91,351",170,"Georgia
","153,095",+67.59%
Kansas City,"145,786",171,"Kansas
","152,958",+4.92%
Pomona,"149,058",172,"California
","152,361",+2.22%
Escondido,"143,911",173,"California
","152,213",+5.77%
Killeen,"127,921",174,"Texas
","149,103",+16.56%
Naperville,"141,853",175,"Illinois
","148,304",+4.55%
Joliet,"147,433",176,"Illinois
","148,099",+0.45%
Bellevue,"122,363",177,"Washington
","147,599",+20.62%
Rockford,"152,871",178,"Illinois
","146,526",−4.15%
Savannah,"136,286",179,"Georgia
","145,862",+7.03%
Paterson,"146,199",180,"New Jersey
","145,627",−0.39%
Torrance,"145,438",181,"California
","145,182",−0.18%
Bridgeport,"144,229",182,Connecticut,"144,900",+0.47%
McAllen,"129,877",183,"Texas
","143,433",+10.44%
Mesquite,"139,824",184,"Texas
","142,816",+2.14%
Syracuse,"145,170",185,"New York
","142,749",−1.67%
Midland,"111,147",186,"Texas
","142,344",+28.07%
Pasadena,"137,122",187,"California
","141,371",+3.10%
Murfreesboro,"108,755",188,"Tennessee
","141,344",+29.97%
Miramar,"122,041",189,"Florida
","140,823",+15.39%
Dayton,"141,527",190,"Ohio
","140,640",−0.63%
Fullerton,"135,161",191,"California
","139,640",+3.31%
Olathe,"125,872",192,"Kansas
","139,605",+10.91%
Orange,"136,416",193,"California
","139,484",+2.25%
Thornton,"118,772",194,"Colorado
","139,436",+17.40%
Roseville,"118,788",195,"California
","139,117",+17.11%
Denton,"113,383",196,"Texas
","138,541",+22.19%
Waco,"124,805",197,"Texas
","138,183",+10.72%
Surprise,"117,517",198,"Arizona
","138,161",+17.57%
Carrollton,"119,097",199,"Texas
","136,879",+14.93%
West Valley City,"129,480",200,"Utah
","136,401",+5.35%
Charleston,"120,083",201,South Carolina,"136,208",+13.43%
Warren,"134,056",202,"Michigan
","134,587",+0.40%
Hampton,"137,436",203,"Virginia
","134,313",−2.27%
Gainesville,"124,354",204,"Florida
","133,857",+7.64%
Visalia,"124,442",205,"California
","133,800",+7.52%
Coral Springs,"121,096",206,"Florida
","133,507",+10.25%
Columbia,"129,272",207,"South Carolina
","133,451",+3.23%
Cedar Rapids,"126,326",208,"Iowa
","133,174",+5.42%
Sterling Heights,"129,699",209,"Michigan
","132,964",+2.52%
New Haven,"129,779",210,"Connecticut
","130,418",+0.49%
Stamford,"122,643",211,"Connecticut
","129,775",+5.82%
Concord,"122,067",212,"California
","129,688",+6.24%
Kent,"92,411",213,"Washington
","129,618",+40.26%
Santa Clara,"116,468",214,"California
","129,488",+11.18%
Elizabeth,"124,969",215,"New Jersey
","128,885",+3.13%
Round Rock,"99,887",216,"Texas
","128,739",+28.88%
Thousand Oaks,"126,683",217,"California
","127,690",+0.79%
Lafayette,"120,623",218,"Louisiana
","126,143",+4.58%
Athens,"115,452",219,"Georgia
","125,964",+9.11%
Topeka,"127,473",220,"Kansas
","125,904",−1.23%
Simi Valley,"124,237",221,"California
","125,851",+1.30%
Fargo,"105,549",222,North Dakota,"124,844",+18.28%
Norman,"110,925",223,"Oklahoma
","123,471",+11.31%
Columbia,"108,500",224,"Missouri
","123,180",+13.53%
Abilene,"117,063",225,"Texas
","122,999",+5.07%
Wilmington,"106,476",226,"North Carolina
","122,607",+15.15%
Hartford,"124,775",227,"Connecticut
","122,587",−1.75%
Victorville,"115,903",228,"California
","122,312",+5.53%
Pearland,"91,252",229,"Texas
","122,149",+33.86%
Vallejo,"115,942",230,"California
","121,913",+5.15%
Ann Arbor,"113,934",231,"Michigan
","121,890",+6.98%
Berkeley,"112,580",232,"California
","121,643",+8.05%
Allentown,"118,032",233,"Pennsylvania
","121,433",+2.88%
Richardson,"99,223",234,"Texas
","120,981",+21.93%
Odessa,"99,940",235,"Texas
","120,568",+20.64%
Arvada,"106,433",236,"Colorado
","120,492",+13.21%
Cambridge,"105,162",237,"Massachusetts
","118,977",+13.14%
Sugar Land,"78,817",238,"Texas
","118,600",+50.48%
